place,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Minas Gerais,17077395,20429152,21144370,20478527,19855251,19680123,19614547,19710091,19839646,20059354,19901557,19847770,20032843,20190278,20291830,20355119,20471639,20764329,21066183,21034400,20707367,20146402,20148086,20377742,20501132,20082067,19975271,20218911,20558937,20852227,21622779,21403680,22203154,22575194,22369639,22469791,22698120,23907915,23965914,24201256,23707042,23768959,23637803,21971713,21810311,22020979
Espírito Santo,1683462,2126102,2254886,2281689,2200293,2026529,1870306,1884173,1845382,1799924,1759889,1705512,1727062,1664627,1696617,1697217,1664773,1765967,1829137,1934782,1918910,1968311,1816047,1935672,1938100,1881831,1825283,1664993,1682827,1805299,1925596,2026690,2119309,2142342,2120017,2187235,2195406,2223262,2285345,2313445,2295624,2223531,2044771,1937604,1976903,2006027
Rio de Janeiro,1433035,1649084,1718946,1761901,1792353,1774057,1773665,1757528,1802664,1794325,1838668,1806780,1861590,1912057,1901687,1922535,1923847,1931726,1941838,1967208,2003902,1905353,1842977,1837099,1881342,1866061,1959497,1976909,1981026,2007124,2064763,2092748,2095666,2078529,2144882,2162043,2160727,2179671,2197615,2339978,2379648,2351451,2409718,2531239,2552587,2533164
São Paulo,10192202,11381957,11955114,11786698,11669071,11634751,11867074,11693179,11649607,11431325,11487510,11260601,11746215,11891008,11912382,12260743,12262909,12261609,12394312,12690148,12973841,13148133,12797505,12826949,12753030,13068672,13091946,13257952,13700785,14046426,13765873,13420780,12790383,11790564,11185556,11197605,11197697,11024796,10757383,10486750,10148423,10468135,11031408,11109523,10771635,10486465
Paraná,5640628,6605310,6966555,6699544,6455816,6547526,7915140,8050488,7938760,7964042,7934294,8046780,8563315,8582536,8472318,8603778,8616783,8541933,8498877,8606629,8911986,9389200,9879889,9896554,9766594,9472808,9645866,9816547,10048172,10258535,10278148,10153375,9764545,9494843,9585600,9562113,9411380,9475676,9413937,9395313,9181577,9314908,9487999,9370139,9275271,8971675
Santa Catarina,2161296,2259340,2325710,2328640,2337048,2348365,2611737,2638117,2652850,2733930,2790606,2777327,2791830,2886709,2960442,2969344,2994111,3057416,3047147,3017369,2960343,2992986,3097657,3087053,3090120,3052952,3051104,3096275,3117737,3189825,3263414,3376725,3460835,3488992,3884264,3976165,3985662,4039217,4072960,4201561,4285931,4382299,4499505,4302861,4296052,4452571
Rio Grande do Sul,12960804,12804167,12907102,12953576,12228178,12263628,14082148,14149701,14212042,13733010,13547584,13563090,13728072,13729256,13829640,13832766,13715085,13672801,13905291,14103022,14556224,14259226,13443106,13699814,13743130,13663893,13601000,13871613,14371138,14581757,14669713,14239906,13974827,13516426,14115643,14366298,14469307,14478312,14140654,14037367,13956953,13737316,13590282,13353122,12550379,11968216
Mato Grosso do Sul,,,,,9375241,10020281,11904494,12942869,13190347,13472519,13882717,14991356,15986846,16496082,16976555,17732406,19163736,19542644,20394609,21800445,22244427,22292330,20755727,20982933,21421567,21576384,22205408,22619950,23168235,24983821,24715372,24504098,23726290,21832001,22365219,22325663,22354077,21553851,21498382,21047274,21003830,21357398,21800990,21474693,20896700,19407908
Mato Grosso,11873569,11941972,12698955,12885517,3888131,4222527,5249317,5496896,5967282,6365102,6787575,6507632,6859161,7407377,7850069,8473929,9041258,9890510,10138376,11681559,12653943,14153541,15573094,16337986,16751508,17242935,18924532,19921615,22183695,24613718,25918998,26651500,26064332,25683031,26018216,27357089,28757438,29265718,28740802,28395205,28592183,29364042,30296096,29725378,30199598,31973856
Goiás,10976757,12884264,13858402,14099177,14507286,15292818,16453598,17087078,17438902,18687760,20003725,19551110,19008755,19969335,20646055,17095470,17635390,18574234,18147923,18580908,18397064,18492318,16954667,17182332,18118412,18297357,18399222,19132372,20101893,20178516,20419803,20726586,20646560,20471490,20466360,20874943,21347881,21744650,22045776,21580398,21538072,21887720,22919070,22835005,22651910,22785151
Distrito Federal,41500,40165,42304,45646,50925,53980,65847,71488,80216,81250,80780,76389,84320,89597,103443,107069,105550,101651,107099,123569,124419,123110,115000,123306,110058,110157,112139,113362,113400,112580,114680,102320,98740,101590,80000,102000,100600,98000,100069,101452,100056,96576,96265,93141,90199,84425
