Territorialidade,Posição IDHM,IDHM,Posição IDHM Renda,IDHM Renda,Posição IDHM Educação,IDHM Educação,Posição IDHM Longevidade,IDHM Longevidade,,,,,,,,,,,,,,,,,
Distrito Federal,1,0.725,1,0.814,1,0.582,1,0.805,,,,,,,,,,,,,,,,,
São Paulo,2,0.702,4,0.786,2,0.581,2,0.756,,,,,,,,,,,,,,,,,
Santa Catarina,3,0.674,2,0.812,4,0.526,5,0.717,,,,,,,,,,,,,,,,,
Rio de Janeiro,4,0.664,10,0.74,3,0.53,3,0.745,,,,,,,,,,,,,,,,,
Rio Grande do Sul,4,0.664,3,0.804,6,0.505,4,0.72,,,,,,,,,,,,,,,,,
Paraná,5,0.65,9,0.747,5,0.522,6,0.704,,,,,,,,,,,,,,,,,
Espírito Santo,6,0.64,5,0.777,7,0.491,8,0.687,,,,,,,,,,,,,,,,,
Minas Gerais,7,0.624,7,0.759,8,0.47,10,0.68,,,,,,,,,,,,,,,,,
Goiás,8,0.615,6,0.773,11,0.439,9,0.686,,,,,,,,,,,,,,,,,
Mato Grosso do Sul,9,0.613,8,0.752,10,0.445,8,0.687,,,,,,,,,,,,,,,,,
Mato Grosso,10,0.601,10,0.74,12,0.426,7,0.689,,,,,,,,,,,,,,,,,
Roraima,11,0.598,12,0.717,9,0.457,12,0.652,,,,,,,,,,,,,,,,,
Amapá,12,0.577,14,0.711,13,0.424,13,0.638,,,,,,,,,,,,,,,,,
Rio Grande do Norte,13,0.552,16,0.7,14,0.396,16,0.608,,,,,,,,,,,,,,,,,
Pernambuco,14,0.544,15,0.705,16,0.372,14,0.615,,,,,,,,,,,,,,,,,
Ceará,15,0.541,13,0.713,15,0.377,21,0.588,,,,,,,,,,,,,,,,,
Rondônia,16,0.537,19,0.688,18,0.345,11,0.654,,,,,,,,,,,,,,,,,
Tocantins,17,0.525,19,0.688,17,0.348,17,0.605,,,,,,,,,,,,,,,,,
Pará,18,0.518,11,0.725,24,0.319,18,0.601,,,,,,,,,,,,,,,,,
Sergipe,18,0.518,21,0.678,19,0.343,19,0.596,,,,,,,,,,,,,,,,,
Acre,19,0.517,17,0.694,22,0.325,15,0.612,,,,,,,,,,,,,,,,,
Amazonas,20,0.515,18,0.692,23,0.324,16,0.608,,,,,,,,,,,,,,,,,
Bahia,21,0.512,20,0.68,20,0.332,20,0.594,,,,,,,,,,,,,,,,,
Paraíba,22,0.506,23,0.672,21,0.331,22,0.582,,,,,,,,,,,,,,,,,
Piauí,23,0.484,22,0.676,26,0.301,24,0.556,,,,,,,,,,,,,,,,,
Maranhão,24,0.476,24,0.649,25,0.312,25,0.531,,,,,,,,,,,,,,,,,
Alagoas,25,0.471,25,0.647,27,0.282,23,0.574,,,,,,,,,,,,,,,,,
